trial primary/dMass cbp/dOrbPeriod cbp/dMass cbp/dEnvelopeMass 
rand_0114 1.050000 -11.118667 -4.670742 -0.609667 
rand_0115 0.259116 -19.757069 -1.974296 -0.060251 
rand_0116 0.970000 -23.369088 -1.397218 -0.023353 
rand_0117 0.850000 -10.059430 -4.465673 -0.534398 
rand_0118 0.970000 -48.522609 -9.739891 -4.458717 
rand_0119 0.940000 -32.233443 -4.588090 -0.576711 
rand_0120 0.840000 -27.196329 -3.418576 -0.262878 
rand_0121 1.140000 -44.695452 -2.996766 -0.182341 
rand_0122 0.480000 -59.764716 -6.823143 -1.698932 
rand_0123 0.600081 -49.251932 -4.104488 -0.425033 
rand_0124 0.890000 -24.231595 -2.591124 -0.121279 
rand_0125 0.951045 -16.782709 -1.329186 -0.020501 
rand_0126 1.230000 -45.410988 -5.165289 -0.791365 
rand_0127 0.840000 -40.416413 -5.541328 -0.967451 
rand_0128 1.089254 -47.591783 -0.851730 -0.006140 
rand_0129 1.050000 -21.651369 -3.631050 -0.314651 
rand_0130 0.257613 -36.842814 -1.488181 -0.027770 
rand_0131 0.790000 -53.952334 -2.781417 -0.151343 
rand_0132 1.057988 -40.314579 -1.049395 -0.010636 
rand_0133 0.870000 -52.839266 -6.704553 -1.622904 
rand_0134 1.260455 -49.943532 -3.518163 -0.282425 
rand_0135 0.814101 -33.080464 -3.334838 -0.247009 
rand_0136 0.822618 -44.978409 -1.217846 -0.016035 
rand_0137 1.180000 -11.800851 -2.322865 -0.092246 
rand_0138 1.070000 -39.940120 -2.386239 -0.100205 
rand_0139 0.940000 -35.081320 -7.813492 -2.464271 
rand_0140 0.950000 -45.141506 -3.880095 -0.364109 
rand_0141 0.982661 -22.426388 -1.900206 -0.052814 
rand_0142 0.942217 -14.041037 -1.980509 -0.060315 
rand_0143 0.686664 -26.461034 -2.563519 -0.121334 
rand_0144 0.910000 -37.408416 -2.984771 -0.182772 
rand_0145 0.250000 -19.209976 -1.135596 -0.013502 
rand_0146 1.394515 -22.183246 -1.271707 -0.018361 
rand_0147 1.149778 -13.822165 -2.116854 -0.072789 
rand_0148 1.130000 -42.638887 -4.395425 -0.510580 
rand_0149 0.920000 -23.652581 -1.461994 -0.026478 
rand_0150 0.990000 -55.841769 -3.824525 -0.355455 
rand_0151 0.875099 -19.417896 -1.961703 -0.058114 
rand_0152 0.229290 -48.024519 -1.892064 -0.053537 
rand_0153 0.750000 -53.797867 -2.889212 -0.165814 
rand_0154 1.041796 -14.602498 -1.973492 -0.060070 
rand_0155 1.258260 -48.762533 -0.666616 -0.003141 
rand_0156 0.690000 -44.286290 -3.930866 -0.383033 
rand_0157 1.070000 -42.845282 -4.577106 -0.577288 
rand_0158 0.630000 -44.431058 -3.384642 -0.251377 
rand_0159 0.940000 -22.515259 -7.124242 -1.910939 
rand_0160 0.850000 -33.886496 -2.204714 -0.080466 
rand_0161 1.171045 -48.229368 -2.312332 -0.091866 
rand_0162 1.210000 -15.978546 -2.168645 -0.076858 
rand_0163 0.824539 -18.744981 -1.619656 -0.034716 
rand_0164 0.102123 -32.472831 -2.162915 -0.078124 
rand_0165 0.612131 -49.160727 -1.117935 -0.012614 
rand_0166 1.040000 -49.353328 -4.735879 -0.629882 
rand_0167 0.560000 -56.222755 -7.084063 -1.851816 
rand_0168 0.660000 -48.142599 -2.550409 -0.118591 
rand_0169 0.807157 -11.040151 -3.020563 -0.187641 
rand_0170 1.060000 -18.781836 -3.704937 -0.328000 
rand_0171 0.783252 -48.051006 -2.107181 -0.070169 
rand_0172 1.020000 -42.241969 -9.858435 -4.505617 
rand_0173 0.657309 -15.362648 -3.189634 -0.215361 
rand_0174 0.953931 -31.418223 -3.476851 -0.274862 
rand_0175 0.940000 -31.762956 -1.373419 -0.022448 
rand_0176 0.570000 -29.232598 -2.807694 -0.152876 
rand_0177 1.100000 -54.805255 -3.736297 -0.333967 
rand_0178 0.898270 -22.110288 -1.985120 -0.060146 
rand_0179 0.650000 -26.784666 -5.838073 -1.085972 
rand_0180 0.747532 -12.957266 -3.476331 -0.273200 
rand_0181 1.060000 -54.242444 -4.544218 -0.560578 
rand_0182 0.420000 -29.209775 -4.929422 -0.700402 
rand_0183 0.910000 -55.312938 -1.804017 -0.046855 
rand_0184 0.900000 -25.216157 -2.784259 -0.150537 
rand_0185 0.980000 -52.002370 -6.595232 -1.540221 
rand_0186 0.215302 -39.133544 -4.337120 -0.497603 
rand_0187 1.150000 -26.620483 -3.722251 -0.332780 
rand_0188 0.820000 -39.208127 -4.614501 -0.580723 
rand_0189 0.859461 -40.624285 -2.713467 -0.139222 
rand_0190 0.943284 -29.796624 -2.008371 -0.062742 
rand_0191 0.888406 -45.859191 -3.295865 -0.237373 
rand_0192 1.050000 -19.626890 -3.583190 -0.299724 
rand_0193 0.180000 -42.739257 -3.840450 -0.357089 
rand_0194 1.080000 -58.382672 -5.415986 -0.919431 
rand_0195 0.570000 -57.865689 -3.454966 -0.270671 
rand_0196 1.200000 -29.685418 -2.186811 -0.079416 
rand_0197 0.518033 -28.853031 -1.989035 -0.060470 
rand_0198 1.167748 -14.492905 -2.454338 -0.106836 
rand_0199 1.060000 -36.594256 -4.391512 -0.508868 
rand_0200 0.595712 -16.855305 -1.482596 -0.027592 
rand_0201 0.679084 -13.799388 -3.253822 -0.223733 
rand_0202 0.874913 -10.423508 -1.073359 -0.011528 
rand_0203 0.520968 -19.476950 -2.320968 -0.093113 
rand_0204 0.848416 -21.094834 -2.427678 -0.106377 
rand_0205 0.580000 -26.562738 -7.142910 -1.921830 
rand_0206 0.630000 -32.834942 -4.097981 -0.428311 
rand_0207 1.130000 -14.095568 -2.835209 -0.158666 
rand_0208 1.150419 -33.224758 -0.428656 -0.000956 
rand_0209 0.800000 -48.886165 -2.708054 -0.139921 
rand_0210 0.880000 -17.220431 -2.952565 -0.180869 
rand_0211 1.380000 -26.065341 -1.976411 -0.059434 
rand_0212 0.850000 -11.115927 -7.073976 -1.861327 
rand_0213 0.231016 -29.967480 -2.611570 -0.126450 
rand_0214 0.918883 -19.916671 -3.210297 -0.220636 
rand_0215 1.323876 -27.634070 -1.896847 -0.053288 
rand_0216 0.930000 -38.521626 -0.665654 -0.003135 
rand_0217 0.970000 -27.222827 -4.453866 -0.536637 
rand_0218 1.010000 -18.604190 -7.550928 -2.200406 
rand_0219 1.220385 -16.284900 -1.395922 -0.023413 
rand_0220 1.197381 -14.989435 -2.314642 -0.091302 
rand_0221 1.050000 -45.414681 -3.041331 -0.190900 
rand_0222 0.884217 -42.101857 -4.104852 -0.421614 
rand_0223 1.195446 -12.085760 -2.390068 -0.100101 
rand_0224 1.060000 -52.072657 -8.274723 -2.848307 
rand_0225 0.180000 -56.325160 -1.980522 -0.060662 
rand_0226 1.178542 -39.015210 -2.766835 -0.148393 
rand_0227 0.423202 -18.510883 -2.223057 -0.080666 
rand_0228 0.238209 -12.098595 -0.840502 -0.005865 
rand_0229 1.090000 -50.429437 -6.176202 -1.274832 
rand_0230 1.070000 -16.961418 -3.839107 -0.358579 
rand_0231 0.730000 -22.703403 -0.720367 -0.003958 
rand_0232 1.100000 -40.141191 -4.208657 -0.454839 
rand_0233 0.974270 -39.542926 -4.996775 -0.732757 
rand_0234 0.880000 -49.858061 -5.236055 -0.827196 
rand_0235 0.630778 -10.330018 -2.113588 -0.071128 
rand_0236 0.932493 -34.013064 -3.994933 -0.398319 
rand_0237 1.040595 -24.438885 -2.118329 -0.072078 
rand_0238 0.426411 -47.212511 -2.774357 -0.151041 
rand_0239 0.780000 -53.768420 -2.092262 -0.070115 
rand_0240 0.636187 -22.949057 -0.899711 -0.007144 
rand_0241 0.644714 -43.576975 -0.426315 -0.000950 
rand_0242 0.880000 -43.818310 -3.725297 -0.330449 
rand_0243 0.909274 -18.421252 -1.605351 -0.033457 
rand_0244 1.350000 -24.654481 -1.812946 -0.047556 
rand_0245 1.117819 -37.632229 -1.205953 -0.015432 
rand_0246 0.790000 -15.455878 -2.389799 -0.100115 
rand_0247 0.940000 -39.465811 -1.489653 -0.027863 
rand_0248 1.204228 -38.403573 -1.332648 -0.020928 
rand_0249 1.112412 -20.419659 -2.730015 -0.144316 
rand_0250 0.594188 -18.068513 -2.383339 -0.098737 
rand_0251 0.810000 -38.898778 -3.947900 -0.388304 
rand_0252 0.801899 -38.595900 -1.534614 -0.030301 
rand_0253 0.990000 -15.754108 -4.402804 -0.523216 
rand_0254 0.692548 -25.367348 -0.303561 -0.000377 
rand_0255 0.740000 -48.818970 -0.971698 -0.008844 
rand_0256 0.940000 -49.772952 -4.130127 -0.435664 
rand_0257 1.363940 -17.835702 -2.158762 -0.075994 
rand_0258 0.860000 -42.573343 -6.821841 -1.676761 
rand_0259 0.230000 -11.141931 -4.967531 -0.734058 
rand_0260 0.800000 -26.749206 -6.452257 -1.437151 
rand_0261 0.935563 -38.235975 -1.847098 -0.050561 
rand_0262 0.440000 -29.652165 -4.349359 -0.501156 
rand_0263 1.010000 -46.383272 -2.132283 -0.073320 
rand_0264 0.424302 -31.889049 -1.113144 -0.012655 
rand_0265 0.245579 -12.319225 -0.869930 -0.006538 
rand_0266 0.870000 -52.913191 -1.028512 -0.010053 
rand_0267 0.935252 -15.936850 -2.198527 -0.079610 
rand_0268 0.591802 -45.800301 -1.005903 -0.009775 
rand_0269 1.128677 -47.817927 -1.431190 -0.024992 
rand_0270 1.307817 -45.156329 -0.332351 -0.000484 
rand_0271 0.790000 -12.641591 -3.738440 -0.336290 
rand_0272 1.135097 -49.091971 -2.200615 -0.079762 
rand_0273 0.947924 -18.692782 -0.443184 -0.001058 
rand_0274 0.960000 -41.246088 -3.073532 -0.198209 
rand_0275 1.310000 -53.436278 -1.703051 -0.039951 
rand_0276 1.225115 -19.424372 -0.189023 -0.000104 
rand_0277 0.760000 -14.623099 -3.552348 -0.291167 
rand_0278 0.810000 -21.206404 -6.907226 -1.760047 
rand_0279 0.560000 -31.847944 -4.122045 -0.427266 
rand_0280 1.228595 -34.956134 -3.017888 -0.187456 
rand_0281 0.748553 -18.264080 -3.292105 -0.234821 
rand_0282 1.010000 -33.290396 -2.664120 -0.131329 
rand_0283 0.729686 -22.048099 -2.324257 -0.091907 
rand_0284 0.516373 -36.350364 -1.035268 -0.010444 
rand_0285 0.460000 -48.868472 -1.461202 -0.026317 
rand_0286 1.319369 -34.962844 -0.372885 -0.000653 
rand_0287 0.140000 -33.293114 -7.381621 -2.102001 
rand_0288 0.540000 -25.561642 -7.870145 -2.503833 
rand_0289 0.860000 -30.815798 -4.503936 -0.538787 
rand_0290 0.855634 -30.697323 -0.883019 -0.006829 
rand_0291 0.990000 -34.350583 -1.274337 -0.018253 
rand_0292 1.284307 -16.952805 -1.559594 -0.031089 
rand_0293 1.053079 -22.465316 -2.127827 -0.073196 
rand_0294 0.940000 -20.986677 -2.551016 -0.115595 
rand_0295 0.682239 -19.873503 -0.426344 -0.000950 
rand_0296 1.010000 -19.344655 -1.182624 -0.014933 
rand_0297 1.237446 -31.669075 -2.918797 -0.170355 
rand_0298 0.631736 -10.552578 -1.879127 -0.051132 
rand_0299 1.131067 -44.585619 -1.736537 -0.041756 
rand_0300 0.490000 -56.412051 -5.550051 -0.967183 
rand_0301 0.548198 -19.651566 -1.210833 -0.015687 
rand_0302 1.090000 -47.184070 -2.207025 -0.080028 
rand_0303 0.676413 -15.170063 -1.982711 -0.059408 
rand_0304 0.580000 -18.493518 -3.792034 -0.348322 
rand_0305 0.700000 -47.004638 -0.643540 -0.002870 
rand_0306 1.030000 -53.714441 -1.634578 -0.035940 
rand_0307 0.432997 -12.656470 -1.660427 -0.037511 
rand_0308 0.570000 -26.429541 -4.766761 -0.638101 
rand_0309 0.890000 -17.617929 -2.510639 -0.114195 
rand_0310 0.121494 -18.383601 -2.184021 -0.077888 
rand_0311 1.160000 -19.695720 -3.307065 -0.241202 
rand_0312 0.654011 -38.842708 -2.418134 -0.104010 
rand_0313 0.913331 -19.722508 -1.203820 -0.015688 
rand_0314 0.450000 -54.574590 -0.640172 -0.002836 
rand_0315 1.020000 -20.640622 -2.005206 -0.061880 
rand_0316 0.880000 -36.162201 -5.518696 -0.948238 
rand_0317 0.860000 -57.436229 -1.275493 -0.018330 
rand_0318 0.850000 -31.184660 -5.634602 -0.995715 
rand_0319 1.030000 -59.369481 -3.937340 -0.382321 
rand_0320 0.850831 -19.080870 -1.592412 -0.033707 
rand_0321 1.073769 -14.502573 -2.156389 -0.075263 
rand_0322 0.744793 -26.477785 -1.750502 -0.042985 
rand_0323 0.430000 -49.864170 -5.905217 -1.145880 
rand_0324 0.930000 -36.376317 -6.461543 -1.489250 
rand_0325 0.482168 -24.880863 -1.584904 -0.032611 
rand_0326 1.000000 -59.319218 -9.469345 -4.083282 
rand_0327 0.750000 -54.523459 -0.832266 -0.005752 
rand_0328 0.850000 -28.667662 -3.333014 -0.242592 
rand_0329 1.087926 -21.725024 -2.977555 -0.179835 
rand_0330 0.775502 -36.482925 -1.403623 -0.023482 
rand_0331 1.010000 -41.681995 -4.807829 -0.656901 
rand_0332 1.270000 -23.538541 -3.958186 -0.388498 
rand_0333 1.070000 -42.182718 -2.439511 -0.105966 
rand_0334 0.863666 -46.406062 -1.835137 -0.049224 
rand_0335 0.403271 -24.482065 -2.051028 -0.065313 
rand_0336 0.307412 -42.037827 -2.358670 -0.095412 
rand_0337 1.130000 -49.605703 -2.220636 -0.082847 
rand_0338 1.198726 -32.988996 -2.247600 -0.083956 
rand_0339 1.050000 -47.105715 -5.152449 -0.797797 
rand_0340 0.280000 -28.297783 -0.478755 -0.001293 
rand_0341 0.840000 -29.404935 -3.621547 -0.309966 
rand_0342 1.142999 -37.966693 -2.886569 -0.164208 
rand_0343 1.220000 -28.328816 -5.969175 -1.183720 
rand_0344 0.876702 -47.819767 -2.303825 -0.090662 
rand_0345 0.493902 -38.932607 -1.625595 -0.035315 
rand_0346 1.228822 -10.096531 -2.361502 -0.096463 
rand_0347 1.304370 -43.345574 -3.136211 -0.203737 
rand_0348 0.379207 -13.951986 -2.193379 -0.078150 
rand_0349 1.200000 -18.261206 -6.771562 -1.652938 
rand_0350 0.890000 -20.661891 -5.323323 -0.853265 
rand_0351 0.735737 -49.251017 -2.424482 -0.103810 
rand_0352 1.000000 -37.111226 -1.251326 -0.017381 
rand_0353 0.550000 -19.963505 -5.966354 -1.200454 
rand_0354 1.133349 -13.553033 -0.436498 -0.001026 
rand_0355 0.890000 -55.844197 -2.339611 -0.093663 
rand_0356 0.953949 -46.433692 -3.314885 -0.243499 
rand_0357 0.790000 -59.523785 -1.449564 -0.025848 
rand_0358 0.770000 -56.117697 -3.162188 -0.212765 
rand_0359 1.120000 -47.545280 -0.759389 -0.004547 
rand_0360 0.950000 -15.270107 -3.561303 -0.290789 
rand_0361 1.160000 -58.888532 -6.040384 -1.241311 
rand_0362 1.130956 -43.414758 -3.011206 -0.187089 
rand_0363 1.266796 -28.504306 -2.157890 -0.075383 
rand_0364 1.040000 -40.344776 -5.186228 -0.798604 
rand_0365 0.417238 -38.694625 -0.985881 -0.009106 
rand_0366 0.671328 -31.016632 -4.761341 -0.645266 
rand_0367 0.840000 -14.658850 -2.448948 -0.104697 
rand_0368 1.030000 -12.499689 -3.149498 -0.207603 
rand_0369 0.880000 -49.455815 -4.759048 -0.637057 
rand_0370 1.150000 -10.384262 -0.355580 -0.000578 
rand_0371 1.160000 -23.551653 -4.160180 -0.445757 
rand_0372 1.320000 -52.885487 -4.851952 -0.666413 
rand_0373 0.780000 -35.815928 -2.575466 -0.119480 
rand_0374 1.240000 -52.523564 -2.222078 -0.081378 
rand_0375 0.829828 -21.141856 -3.141818 -0.204929 
rand_0376 0.960000 -39.146207 -2.929779 -0.171486 
rand_0377 0.780800 -17.093578 -3.153351 -0.210481 
rand_0378 1.010000 -20.847187 -0.715321 -0.003912 
rand_0379 0.808633 -40.917596 -2.781323 -0.149774 
rand_0380 0.860000 -39.532361 -5.386655 -0.878639 
rand_0381 1.021240 -22.182156 -1.979445 -0.060248 
rand_0382 1.327191 -23.999155 -1.234242 -0.016775 
rand_0383 0.628033 -37.572935 -3.578382 -0.298909 
rand_0384 0.529162 -26.254613 -3.248461 -0.230993 
rand_0385 0.980000 -25.544314 -1.252761 -0.017460 
rand_0386 1.204003 -27.737050 -1.276364 -0.018306 
rand_0387 1.010000 -12.957031 -1.811778 -0.047662 
rand_0388 1.020000 -46.224841 -6.292024 -1.339907 
rand_0389 1.080000 -20.107811 -5.718627 -1.050193 
rand_0390 0.988666 -46.457344 -2.720244 -0.141171 
rand_0391 0.660000 -29.812127 -5.443600 -0.923119 
rand_0392 0.383025 -16.248032 -1.662991 -0.037697 
rand_0393 1.059925 -34.060180 -2.014682 -0.062433 
rand_0394 1.090000 -16.628648 -2.733688 -0.143315 
rand_0395 1.020000 -43.781265 -4.532665 -0.556256 
rand_0396 1.388147 -41.466326 -3.175727 -0.214337 
rand_0397 0.990000 -40.641872 -4.494044 -0.548213 
rand_0398 0.583744 -14.674943 -0.740636 -0.004129 
rand_0399 0.261734 -38.199662 -3.167924 -0.215575 
rand_0400 1.120000 -39.770102 -1.292525 -0.019219 
rand_0401 0.991961 -10.824006 -3.026841 -0.191648 
rand_0402 0.660000 -23.179900 -5.439693 -0.909334 
rand_0403 1.125291 -15.898615 -0.240737 -0.000201 
rand_0404 0.702701 -23.442474 -3.697174 -0.325305 
rand_0405 1.226825 -28.493292 -1.829119 -0.049031 
rand_0406 1.030000 -10.797299 -1.539860 -0.030522 
rand_0407 0.950000 -36.931553 -6.387665 -1.379835 
rand_0408 1.257032 -33.435034 -0.596484 -0.002342 
rand_0409 0.659257 -32.311076 -2.165656 -0.076238 
rand_0410 1.130000 -23.134576 -2.012929 -0.062236 
rand_0411 0.930000 -29.436535 -5.679426 -1.012740 
rand_0412 1.220000 -17.082834 -2.730347 -0.141292 
rand_0413 0.120000 -15.603542 -7.289114 -2.015987 
rand_0414 0.894550 -32.575622 -0.262255 -0.000258 
rand_0415 0.710679 -29.555255 -1.019147 -0.010275 
rand_0416 1.044666 -37.486080 -1.080172 -0.011566 
rand_0417 0.560000 -55.228608 -5.224312 -0.835374 
rand_0418 0.870858 -25.203719 -3.321292 -0.239234 
rand_0419 0.910000 -47.769444 -5.695844 -1.031132 
rand_0420 0.542057 -26.906156 -3.196736 -0.218239 
rand_0421 0.550000 -17.180663 -1.423955 -0.024988 
rand_0422 1.061484 -20.616050 -0.994054 -0.009273 
rand_0423 1.001856 -26.187226 -3.268125 -0.233395 
rand_0424 0.293096 -30.338555 -1.754979 -0.042861 
rand_0425 0.763725 -25.230147 -2.623728 -0.126829 
rand_0426 1.084104 -45.573566 -2.579996 -0.120782 
rand_0427 0.875171 -29.958585 -0.555391 -0.001907 
rand_0428 1.286469 -21.255565 -1.962081 -0.058435 
rand_0429 1.050000 -10.782388 -4.283649 -0.487284 
rand_0430 1.100000 -11.399429 -5.262890 -0.836072 
rand_0431 0.970690 -44.905008 -0.335910 -0.000501 
rand_0432 1.107766 -33.327808 -3.634535 -0.311933 
rand_0433 1.230000 -54.348253 -5.651880 -1.014348 
rand_0434 0.860000 -14.318075 -1.711815 -0.039821 
rand_0435 0.640000 -17.509898 -4.551366 -0.569147 
rand_0436 1.080000 -22.548961 -1.227935 -0.016573 
rand_0437 0.596828 -12.181180 -3.567755 -0.292452 
rand_0438 0.480000 -59.762898 -4.256265 -0.462524 
rand_0439 0.650000 -53.230294 -4.429639 -0.524994 
rand_0440 1.179081 -11.252015 -1.829307 -0.048333 
rand_0441 0.577320 -32.822904 -4.255836 -0.471220 
rand_0442 0.700631 -35.070708 -1.928234 -0.055514 
rand_0443 1.184527 -14.328032 -1.678286 -0.038060 
rand_0444 0.323086 -13.332618 -1.720226 -0.040835 
rand_0445 1.100000 -51.918499 -5.556895 -0.971875 
rand_0446 0.984113 -13.838420 -3.652653 -0.313460 
rand_0447 0.970000 -50.310630 -0.659110 -0.003070 
rand_0448 0.950000 -48.535551 -1.947921 -0.058075 
rand_0449 0.990000 -38.561273 -6.974082 -1.809014 
rand_0450 0.840000 -58.065702 -3.800492 -0.345037 
rand_0451 1.090000 -40.956920 -2.580994 -0.123846 
rand_0452 0.773664 -14.091161 -2.067988 -0.068170 
rand_0453 0.560000 -30.189938 -2.615288 -0.128484 
rand_0454 0.810000 -35.199178 -5.935062 -1.174766 
rand_0455 0.990000 -32.594628 -1.660606 -0.037733 
rand_0456 0.952611 -49.639725 -1.140545 -0.013479 
rand_0457 0.968344 -39.566870 -2.963646 -0.177351 
rand_0458 1.191849 -23.564378 -1.028439 -0.010294 
rand_0459 0.560000 -49.244351 -8.009416 -2.567324 
rand_0460 1.210000 -17.628961 -8.775485 -3.294757 
rand_0461 1.225676 -26.495561 -0.753800 -0.004403 
rand_0462 1.077611 -20.305471 -1.891132 -0.052973 
