trial star/#dMass star/dMass planet/#dMass planet/dMass planet/dEnvelopeMass planet/dOrbPeriod 
rand_0116 5.388443 0.970000 4.720908 -1.397218 -0.023353 -23.369088 
rand_0117 5.365344 0.850000 24.791673 -4.465673 -0.534398 -10.059430 
rand_0118 1.107111 0.970000 21.349033 -9.739891 -4.458717 -48.522609 
rand_0119 2.014039 0.940000 0.798298 -4.588090 -0.576711 -32.233443 
rand_0120 5.628686 0.840000 7.865013 -3.418576 -0.262878 -27.196329 
rand_0121 3.397065 1.140000 2.088212 -2.996766 -0.182341 -44.695452 
rand_0122 5.663511 0.480000 3.219836 -6.823143 -1.698932 -59.764716 
rand_0123 6.311279 0.600081 1.094858 -4.104488 -0.425033 -49.251932 
rand_0124 3.588089 0.890000 2.954180 -2.591124 -0.121279 -24.231595 
rand_0125 6.059404 0.951045 3.013615 -1.329186 -0.020501 -16.782709 
rand_0126 2.428546 1.230000 1.198959 -5.165289 -0.791365 -45.410988 
rand_0127 4.143291 0.840000 3.307939 -5.541328 -0.967451 -40.416413 
rand_0128 1.773674 1.089254 0.487053 -0.851730 -0.006140 -47.591783 
rand_0129 2.055117 1.050000 10.613063 -3.631050 -0.314651 -21.651369 
rand_0130 1.275656 0.257613 17.033282 -1.488181 -0.027770 -36.842814 
rand_0131 3.210165 0.790000 1.438882 -2.781417 -0.151343 -53.952334 
rand_0132 3.887433 1.057988 12.192403 -1.049395 -0.010636 -40.314579 
rand_0133 2.329507 0.870000 1.632575 -6.704553 -1.622904 -52.839266 
rand_0134 2.091711 1.260455 0.754495 -3.518163 -0.282425 -49.943532 
rand_0135 2.418788 0.814101 10.759528 -3.334838 -0.247009 -33.080464 
rand_0136 4.069671 0.822618 3.839626 -1.217846 -0.016035 -44.978409 
rand_0137 1.207719 1.180000 0.829513 -2.322865 -0.092246 -11.800851 
rand_0138 1.630086 1.070000 3.822967 -2.386239 -0.100205 -39.940120 
rand_0139 2.436106 0.940000 3.597046 -7.813492 -2.464271 -35.081320 
rand_0140 1.444345 0.950000 0.605150 -3.880095 -0.364109 -45.141506 
rand_0141 1.563638 0.982661 2.016220 -1.900206 -0.052814 -22.426388 
rand_0142 0.941648 0.942217 1.419558 -1.980509 -0.060315 -14.041037 
rand_0143 3.392395 0.686664 18.573593 -2.563519 -0.121334 -26.461034 
rand_0144 2.136443 0.910000 1.045324 -2.984771 -0.182772 -37.408416 
rand_0145 2.363007 0.250000 1.641953 -1.135596 -0.013502 -19.209976 
rand_0146 4.609967 1.394515 1.356463 -1.271707 -0.018361 -22.183246 
rand_0147 2.750309 1.149778 1.446539 -2.116854 -0.072789 -13.822165 
rand_0148 2.887862 1.130000 2.765084 -4.395425 -0.510580 -42.638887 
rand_0149 1.489084 0.920000 1.482093 -1.461994 -0.026478 -23.652581 
rand_0150 1.802002 0.990000 2.185382 -3.824525 -0.355455 -55.841769 
rand_0151 1.302815 0.875099 0.850536 -1.961703 -0.058114 -19.417896 
rand_0152 4.661234 0.229290 0.635523 -1.892064 -0.053537 -48.024519 
rand_0153 3.111302 0.750000 0.525547 -2.889212 -0.165814 -53.797867 
rand_0154 5.718114 1.041796 2.789120 -1.973492 -0.060070 -14.602498 
rand_0155 7.768778 1.258260 2.578248 -0.666616 -0.003141 -48.762533 
rand_0156 3.704614 0.690000 4.099867 -3.930866 -0.383033 -44.286290 
rand_0157 3.223832 1.070000 0.926708 -4.577106 -0.577288 -42.845282 
rand_0158 1.669113 0.630000 9.704695 -3.384642 -0.251377 -44.431058 
rand_0159 1.169764 0.940000 1.336559 -7.124242 -1.910939 -22.515259 
rand_0160 2.312144 0.850000 1.172525 -2.204714 -0.080466 -33.886496 
rand_0161 6.361805 1.171045 1.339337 -2.312332 -0.091866 -48.229368 
rand_0162 2.122242 1.210000 0.956266 -2.168645 -0.076858 -15.978546 
rand_0163 5.368290 0.824539 2.810769 -1.619656 -0.034716 -18.744981 
rand_0164 2.146775 0.102123 2.440714 -2.162915 -0.078124 -32.472831 
rand_0165 3.219335 0.612131 3.698542 -1.117935 -0.012614 -49.160727 
rand_0166 4.860412 1.040000 4.210970 -4.735879 -0.629882 -49.353328 
rand_0167 2.065844 0.560000 5.529847 -7.084063 -1.851816 -56.222755 
rand_0168 4.401443 0.660000 1.230865 -2.550409 -0.118591 -48.142599 
rand_0169 1.425140 0.807157 3.556196 -3.020563 -0.187641 -11.040151 
rand_0170 2.836358 1.060000 0.682363 -3.704937 -0.328000 -18.781836 
rand_0171 3.049854 0.783252 0.622851 -2.107181 -0.070169 -48.051006 
rand_0172 3.584482 1.020000 0.433877 -9.858435 -4.505617 -42.241969 
rand_0173 1.740496 0.657309 0.784173 -3.189634 -0.215361 -15.362648 
rand_0174 2.294677 0.953931 44.816806 -3.476851 -0.274862 -31.418223 
rand_0175 1.489452 0.940000 0.915025 -1.373419 -0.022448 -31.762956 
rand_0176 3.001376 0.570000 2.373954 -2.807694 -0.152876 -29.232598 
rand_0177 0.991987 1.100000 2.389580 -3.736297 -0.333967 -54.805255 
rand_0178 2.730784 0.898270 1.128327 -1.985120 -0.060146 -22.110288 
rand_0179 3.006677 0.650000 0.712619 -5.838073 -1.085972 -26.784666 
rand_0180 2.923872 0.747532 102.134322 -3.476331 -0.273200 -12.957266 
rand_0181 0.926528 1.060000 4.964110 -4.544218 -0.560578 -54.242444 
rand_0182 2.240101 0.420000 5.314303 -4.929422 -0.700402 -29.209775 
rand_0183 4.009035 0.910000 5.650059 -1.804017 -0.046855 -55.312938 
rand_0184 2.144318 0.900000 4.186155 -2.784259 -0.150537 -25.216157 
rand_0185 3.618397 0.980000 0.996265 -6.595232 -1.540221 -52.002370 
rand_0186 1.563197 0.215302 0.575366 -4.337120 -0.497603 -39.133544 
rand_0187 4.085455 1.150000 0.845861 -3.722251 -0.332780 -26.620483 
rand_0188 2.670850 0.820000 1.227178 -4.614501 -0.580723 -39.208127 
rand_0189 1.060224 0.859461 1.797191 -2.713467 -0.139222 -40.624285 
rand_0190 3.077433 0.943284 4.454711 -2.008371 -0.062742 -29.796624 
rand_0191 4.126516 0.888406 1.743096 -3.295865 -0.237373 -45.859191 
rand_0192 4.183240 1.050000 3.922819 -3.583190 -0.299724 -19.626890 
rand_0193 4.268756 0.180000 5.310055 -3.840450 -0.357089 -42.739257 
rand_0194 1.877141 1.080000 0.839999 -5.415986 -0.919431 -58.382672 
rand_0195 2.677077 0.570000 11.841382 -3.454966 -0.270671 -57.865689 
rand_0196 3.783338 1.200000 4.165602 -2.186811 -0.079416 -29.685418 
rand_0197 1.794721 0.518033 9.308120 -1.989035 -0.060470 -28.853031 
rand_0198 1.423037 1.167748 0.813161 -2.454338 -0.106836 -14.492905 
rand_0199 2.251322 1.060000 1.193430 -4.391512 -0.508868 -36.594256 
rand_0200 2.945719 0.595712 5.374178 -1.482596 -0.027592 -16.855305 
rand_0201 4.406001 0.679084 3.200260 -3.253822 -0.223733 -13.799388 
rand_0202 1.970321 0.874913 0.768184 -1.073359 -0.011528 -10.423508 
rand_0203 1.003969 0.520968 0.203008 -2.320968 -0.093113 -19.476950 
rand_0204 1.485326 0.848416 3.039716 -2.427678 -0.106377 -21.094834 
rand_0205 2.207597 0.580000 3.462038 -7.142910 -1.921830 -26.562738 
rand_0206 2.347614 0.630000 0.466849 -4.097981 -0.428311 -32.834942 
rand_0207 2.469449 1.130000 1.658191 -2.835209 -0.158666 -14.095568 
rand_0208 2.694073 1.150419 21.429104 -0.428656 -0.000956 -33.224758 
rand_0209 1.483186 0.800000 11.920507 -2.708054 -0.139921 -48.886165 
rand_0210 0.895708 0.880000 5.616289 -2.952565 -0.180869 -17.220431 
rand_0211 2.283482 1.380000 1.141558 -1.976411 -0.059434 -26.065341 
rand_0212 1.719842 0.850000 1.380018 -7.073976 -1.861327 -11.115927 
rand_0213 2.905381 0.231016 3.413845 -2.611570 -0.126450 -29.967480 
rand_0214 5.577963 0.918883 1.614608 -3.210297 -0.220636 -19.916671 
rand_0215 3.654760 1.323876 0.869691 -1.896847 -0.053288 -27.634070 
rand_0216 1.524664 0.930000 5.278847 -0.665654 -0.003135 -38.521626 
rand_0217 2.238357 0.970000 17.531857 -4.453866 -0.536637 -27.222827 
rand_0218 3.362003 1.010000 0.822041 -7.550928 -2.200406 -18.604190 
rand_0219 2.763381 1.220385 7.415366 -1.395922 -0.023413 -16.284900 
rand_0220 3.614481 1.197381 1.866536 -2.314642 -0.091302 -14.989435 
rand_0221 6.095207 1.050000 5.733800 -3.041331 -0.190900 -45.414681 
rand_0222 1.866096 0.884217 5.510456 -4.104852 -0.421614 -42.101857 
rand_0223 1.834460 1.195446 0.730058 -2.390068 -0.100101 -12.085760 
rand_0224 5.293687 1.060000 0.686572 -8.274723 -2.848307 -52.072657 
rand_0225 2.644039 0.180000 1.436039 -1.980522 -0.060662 -56.325160 
rand_0226 5.244041 1.178542 0.603468 -2.766835 -0.148393 -39.015210 
rand_0227 2.075026 0.423202 0.833887 -2.223057 -0.080666 -18.510883 
rand_0228 2.791225 0.238209 9.217005 -0.840502 -0.005865 -12.098595 
rand_0229 1.537431 1.090000 0.521157 -6.176202 -1.274832 -50.429437 
rand_0230 1.449313 1.070000 0.639129 -3.839107 -0.358579 -16.961418 
rand_0231 4.718913 0.730000 0.610937 -0.720367 -0.003958 -22.703403 
rand_0232 2.947475 1.100000 2.053776 -4.208657 -0.454839 -40.141191 
rand_0233 2.013436 0.974270 5.089953 -4.996775 -0.732757 -39.542926 
rand_0234 5.120310 0.880000 1.882276 -5.236055 -0.827196 -49.858061 
rand_0235 2.491311 0.630778 1.937326 -2.113588 -0.071128 -10.330018 
rand_0236 2.774364 0.932493 1.262777 -3.994933 -0.398319 -34.013064 
rand_0237 2.141830 1.040595 1.704971 -2.118329 -0.072078 -24.438885 
rand_0238 2.964048 0.426411 1.180330 -2.774357 -0.151041 -47.212511 
rand_0239 3.021101 0.780000 0.727904 -2.092262 -0.070115 -53.768420 
rand_0240 1.589450 0.636187 1.067286 -0.899711 -0.007144 -22.949057 
rand_0241 1.953802 0.644714 1.617757 -0.426315 -0.000950 -43.576975 
rand_0242 3.451030 0.880000 0.542184 -3.725297 -0.330449 -43.818310 
rand_0243 1.752095 0.909274 2.942698 -1.605351 -0.033457 -18.421252 
rand_0244 2.313572 1.350000 5.839426 -1.812946 -0.047556 -24.654481 
rand_0245 2.516880 1.117819 2.559581 -1.205953 -0.015432 -37.632229 
rand_0246 1.664930 0.790000 1.882925 -2.389799 -0.100115 -15.455878 
rand_0247 5.651054 0.940000 3.926929 -1.489653 -0.027863 -39.465811 
rand_0248 4.264380 1.204228 1.453266 -1.332648 -0.020928 -38.403573 
rand_0249 2.103045 1.112412 0.523005 -2.730015 -0.144316 -20.419659 
rand_0250 2.737001 0.594188 1.976274 -2.383339 -0.098737 -18.068513 
rand_0251 4.260304 0.810000 0.589362 -3.947900 -0.388304 -38.898778 
rand_0252 4.916314 0.801899 0.666118 -1.534614 -0.030301 -38.595900 
rand_0253 1.161528 0.990000 2.834813 -4.402804 -0.523216 -15.754108 
rand_0254 1.832995 0.692548 3.711748 -0.303561 -0.000377 -25.367348 
rand_0255 3.884899 0.740000 0.990623 -0.971698 -0.008844 -48.818970 
rand_0256 2.443123 0.940000 3.130539 -4.130127 -0.435664 -49.772952 
rand_0257 2.651747 1.363940 5.605719 -2.158762 -0.075994 -17.835702 
rand_0258 1.083758 0.860000 2.075018 -6.821841 -1.676761 -42.573343 
rand_0259 1.810800 0.230000 6.377595 -4.967531 -0.734058 -11.141931 
rand_0260 5.033310 0.800000 3.116148 -6.452257 -1.437151 -26.749206 
rand_0261 5.691105 0.935563 0.869620 -1.847098 -0.050561 -38.235975 
rand_0262 1.029385 0.440000 18.639713 -4.349359 -0.501156 -29.652165 
rand_0263 2.575415 1.010000 3.008103 -2.132283 -0.073320 -46.383272 
rand_0264 5.941062 0.424302 1.598187 -1.113144 -0.012655 -31.889049 
rand_0265 2.771137 0.245579 1.769422 -0.869930 -0.006538 -12.319225 
rand_0266 6.362335 0.870000 15.793759 -1.028512 -0.010053 -52.913191 
rand_0267 1.399652 0.935252 0.980928 -2.198527 -0.079610 -15.936850 
rand_0268 1.799210 0.591802 19.150683 -1.005903 -0.009775 -45.800301 
rand_0269 3.883172 1.128677 3.669095 -1.431190 -0.024992 -47.817927 
rand_0270 2.719993 1.307817 1.003442 -0.332351 -0.000484 -45.156329 
rand_0271 2.120211 0.790000 5.460172 -3.738440 -0.336290 -12.641591 
rand_0272 1.504914 1.135097 1.815028 -2.200615 -0.079762 -49.091971 
rand_0273 3.167203 0.947924 1.930733 -0.443184 -0.001058 -18.692782 
rand_0274 1.963244 0.960000 7.897697 -3.073532 -0.198209 -41.246088 
rand_0275 2.189613 1.310000 2.919024 -1.703051 -0.039951 -53.436278 
rand_0276 4.251688 1.225115 2.450921 -0.189023 -0.000104 -19.424372 
rand_0277 4.953582 0.760000 15.902887 -3.552348 -0.291167 -14.623099 
rand_0278 2.486483 0.810000 1.491177 -6.907226 -1.760047 -21.206404 
rand_0279 3.908737 0.560000 2.513509 -4.122045 -0.427266 -31.847944 
rand_0280 2.935685 1.228595 8.004077 -3.017888 -0.187456 -34.956134 
rand_0281 4.815007 0.748553 2.797547 -3.292105 -0.234821 -18.264080 
rand_0282 3.108706 1.010000 1.054195 -2.664120 -0.131329 -33.290396 
rand_0283 4.257998 0.729686 1.093848 -2.324257 -0.091907 -22.048099 
rand_0284 1.328842 0.516373 6.335106 -1.035268 -0.010444 -36.350364 
rand_0285 2.330521 0.460000 1.082375 -1.461202 -0.026317 -48.868472 
rand_0286 2.862398 1.319369 9.498041 -0.372885 -0.000653 -34.962844 
rand_0287 2.875028 0.140000 1.166146 -7.381621 -2.102001 -33.293114 
rand_0288 4.911639 0.540000 0.243836 -7.870145 -2.503833 -25.561642 
rand_0289 4.825850 0.860000 5.548276 -4.503936 -0.538787 -30.815798 
rand_0290 2.730337 0.855634 0.437852 -0.883019 -0.006829 -30.697323 
rand_0291 2.454725 0.990000 3.347437 -1.274337 -0.018253 -34.350583 
rand_0292 1.164768 1.284307 3.097972 -1.559594 -0.031089 -16.952805 
rand_0293 4.530681 1.053079 1.499269 -2.127827 -0.073196 -22.465316 
rand_0294 1.708974 0.940000 1.257348 -2.551016 -0.115595 -20.986677 
rand_0295 3.223728 0.682239 1.572734 -0.426344 -0.000950 -19.873503 
rand_0296 6.772259 1.010000 3.568478 -1.182624 -0.014933 -19.344655 
rand_0297 3.370690 1.237446 0.731049 -2.918797 -0.170355 -31.669075 
rand_0298 3.645090 0.631736 1.747870 -1.879127 -0.051132 -10.552578 
rand_0299 1.531862 1.131067 3.492773 -1.736537 -0.041756 -44.585619 
rand_0300 8.301746 0.490000 0.807398 -5.550051 -0.967183 -56.412051 
rand_0301 3.434446 0.548198 3.337096 -1.210833 -0.015687 -19.651566 
rand_0302 0.870985 1.090000 5.537931 -2.207025 -0.080028 -47.184070 
rand_0303 7.577161 0.676413 1.257388 -1.982711 -0.059408 -15.170063 
rand_0304 1.658594 0.580000 1.715791 -3.792034 -0.348322 -18.493518 
rand_0305 5.881042 0.700000 6.180668 -0.643540 -0.002870 -47.004638 
rand_0306 4.467933 1.030000 5.725912 -1.634578 -0.035940 -53.714441 
rand_0307 1.519826 0.432997 0.419806 -1.660427 -0.037511 -12.656470 
rand_0308 1.322124 0.570000 1.178092 -4.766761 -0.638101 -26.429541 
rand_0309 2.618287 0.890000 2.534048 -2.510639 -0.114195 -17.617929 
rand_0310 5.988543 0.121494 1.873787 -2.184021 -0.077888 -18.383601 
rand_0311 2.432880 1.160000 3.719206 -3.307065 -0.241202 -19.695720 
rand_0312 2.345890 0.654011 5.642065 -2.418134 -0.104010 -38.842708 
rand_0313 2.772648 0.913331 9.968451 -1.203820 -0.015688 -19.722508 
rand_0314 0.743738 0.450000 1.592791 -0.640172 -0.002836 -54.574590 
rand_0315 1.558192 1.020000 0.792046 -2.005206 -0.061880 -20.640622 
rand_0316 1.117529 0.880000 29.134936 -5.518696 -0.948238 -36.162201 
rand_0317 2.870936 0.860000 0.693104 -1.275493 -0.018330 -57.436229 
rand_0318 3.189401 0.850000 2.070869 -5.634602 -0.995715 -31.184660 
rand_0319 2.441145 1.030000 1.223515 -3.937340 -0.382321 -59.369481 
rand_0320 1.710544 0.850831 12.084610 -1.592412 -0.033707 -19.080870 
rand_0321 2.249219 1.073769 0.308262 -2.156389 -0.075263 -14.502573 
rand_0322 5.635230 0.744793 2.318959 -1.750502 -0.042985 -26.477785 
rand_0323 5.062762 0.430000 3.737899 -5.905217 -1.145880 -49.864170 
rand_0324 3.608101 0.930000 1.219593 -6.461543 -1.489250 -36.376317 
rand_0325 2.222182 0.482168 11.047914 -1.584904 -0.032611 -24.880863 
rand_0326 2.426979 1.000000 0.271843 -9.469345 -4.083282 -59.319218 
rand_0327 2.136042 0.750000 2.122643 -0.832266 -0.005752 -54.523459 
rand_0328 2.150292 0.850000 0.183758 -3.333014 -0.242592 -28.667662 
rand_0329 3.407391 1.087926 0.861414 -2.977555 -0.179835 -21.725024 
rand_0330 1.210895 0.775502 1.647030 -1.403623 -0.023482 -36.482925 
rand_0331 1.599994 1.010000 0.900265 -4.807829 -0.656901 -41.681995 
rand_0332 3.505826 1.270000 0.117409 -3.958186 -0.388498 -23.538541 
rand_0333 2.052568 1.070000 1.554557 -2.439511 -0.105966 -42.182718 
rand_0334 0.650927 0.863666 3.312337 -1.835137 -0.049224 -46.406062 
rand_0335 1.672951 0.403271 1.400451 -2.051028 -0.065313 -24.482065 
rand_0336 5.136444 0.307412 1.501065 -2.358670 -0.095412 -42.037827 
rand_0337 2.835813 1.130000 2.528637 -2.220636 -0.082847 -49.605703 
rand_0338 3.035284 1.198726 1.268026 -2.247600 -0.083956 -32.988996 
rand_0339 6.103075 1.050000 0.561104 -5.152449 -0.797797 -47.105715 
rand_0340 4.613909 0.280000 2.555952 -0.478755 -0.001293 -28.297783 
rand_0341 1.406429 0.840000 2.002052 -3.621547 -0.309966 -29.404935 
rand_0342 2.206603 1.142999 2.517780 -2.886569 -0.164208 -37.966693 
rand_0343 3.516550 1.220000 2.253293 -5.969175 -1.183720 -28.328816 
rand_0344 2.961723 0.876702 1.174772 -2.303825 -0.090662 -47.819767 
rand_0345 9.179097 0.493902 1.877669 -1.625595 -0.035315 -38.932607 
rand_0346 2.200721 1.228822 4.313005 -2.361502 -0.096463 -10.096531 
